name,player_id,game,age,country,profile_link
Jing Jun Wu,Sneyking,Dota 2,27.0,United States,/players/3254-sneyking-jing-jun-wu
Oliver Lepko,Skiter,Dota 2,24.0,Slovakia,/players/24761-skiter-oliver-lepko
Leon Kirilin,Nine,Dota 2,24.0,Germany,/players/39770-nine-leon-kirilin
Martin Sazdov,Saksa,Dota 2,27.0,North Macedonia,/players/19074-saksa-martin-sazdov
Neta Shapira,33,Dota 2,25.0,Israel,/players/15708-33-neta-shapira
Anas El-Abd,Anas,Fortnite,20.0,Denmark,/players/83369-anas-el-abd
Luo Siyuan,HuaHai,Arena of Valor,,China,/players/70610-huahai-luo-siyuan
Liu Tianhao,YZ,Arena of Valor,23.0,China,/players/89896-yz-liu-tianhao
Huang Yaoqin,QingRong,Arena of Valor,19.0,China,/players/90008-qingrong-huang-yaoqin
Xiang Yang,ZiYang,Arena of Valor,21.0,China,/players/95063-ziyang-xiang-yang
Sun Linwei,TanRan,Arena of Valor,19.0,China,/players/102465-tanran-sun-linwei
Wang Tianlong,Alan,Arena of Valor,,China,/players/60485-alan-wang-tianlong
Remco Arets,Crystallis,Dota 2,21.0,Netherlands,/players/71503-crystallis-remco-arets
Clement Ivanov,Puppey,Dota 2,32.0,Estonia,/players/2578-puppey-clement-ivanov
Michał Jankowski,Nisha,Dota 2,22.0,Poland,/players/17765-nisha-michal-jankowski
Zhang Ruida,Faith_bian,Dota 2,24.0,China,/players/26513-faith-bian-zhang-ruida
Bakyt Emilzhanov,Zayac,Dota 2,24.0,Kyrgyzstan,/players/23173-zayac-bakyt-emilzhanov
Roman Fominok,Resolut1on,Dota 2,26.0,Ukraine,/players/3946-resolut1on-roman-fominok
Zeng Zehai,Order,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,20.0,China,/players/77958-order-zeng-zehai
Jiang Longhui,FengJie,Arena of Valor,,China,/players/102883-fengjie-jiang-longhui
Zhu Bocheng,paraboy,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,20.0,China,/players/69516-paraboy-zhu-bocheng
Xu Yinjun,Jimmy,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,24.0,"Taiwan, Republic of China",/players/69519-jimmy-xu-yinjun
Lin Yien,King,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,23.0,"Taiwan, Republic of China",/players/89310-king-lin-yien
Xu Jiajun,qc,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,,China,/players/103943-qc-xu-jiajun
Wang Chunyu,Ame,Dota 2,25.0,China,/players/26665-ame-wang-chunyu
