team,player_id,player_name,prize
Team Liquid,MinD_ContRoL,Ivan Ivanov,4462254
Team Liquid,KuroKy,Kuro Takhasomi,4458754
Team Liquid,GH,Maroun Merhej,4082604.4
Team Liquid,Miracle-,Amer Al-Barkawi,4068404.4
Team Liquid,Matumbaman,Lasse Urpalainen,3896694.4
Team Liquid,ELiGE,Jonathan Jablonowski,1149252.83
Team Liquid,nitr0,Nicholas Cannella,1039128.14
Team Liquid,NAF,Keith Markovic,957949.73
Team Liquid,w33,Aliwi Omar,926581.6
Team Liquid,Twistzz,Russel Van Dulken,829879.76
Team Liquid,Stewie2k,Jakey Yip,638050
Team Liquid,Boxi,Samuel Svahn,504706.8
Team Liquid,iNsania,Aydin Sarkohi,504706.8
Team Liquid,miCKE,Michael Vu,503873.47
Team Liquid,Zai,Ludwig Wåhlberg,391522
Team Liquid,FATA,Adrian Trinks,375349.6
Team Liquid,JerAx,Jesse Vainikka,375349.6
Team Liquid,Hungrybox,Juan Debiedma,363228.53
Team Liquid,nesk,André Oliveira,337342.86
Team Liquid,Snute,Jens Aasgaard,327735.64
Team Liquid,rapha,Shane Hendrixson,320225.61
Team Liquid,Jeemzz,Jim Eliassen,318600.58
Team Liquid,Riversan,River Handley,318533.34
Team Liquid,Paluh,Luccas Molina,317982.86
Team Liquid,Ibiza,Jord van Geldere,312664.57
OG,N0tail,Johan Sundstein,6953722.23
OG,JerAx,Jesse Vainikka,6068960.2
OG,ana,Anathan Pham,5976645.23
OG,Ceb,Sébastien Debs,5778332.23
OG,Topson,Topias Taavitsainen,5686839.2
OG,Fly,Tal Aizik,1269098
OG,s4,Gustav Magnusson,649092.4
OG,Cr1t,Andreas Nielsen,611005.6
OG,Miracle-,Amer Al-Barkawi,611005.6
OG,MoonMeander,David Tan,611005.6
OG,Yuragi,Artem Golubiev,324903.9
OG,bzm,Bozhidar Bozhilov,299903.9
OG,Taiga,Tommy Le,299903.9
OG,ATF,Ammar Alassaf,294903.9
OG,Saksa,Martin Sazdov,289671.4
OG,Misha,Mikhail Agatov,262178.6
OG,SumaiL,Sumail Hassan,222192
OG,mantuu,Mateusz Wilczewski,160421.75
OG,Valde,Valdemar Vangså,148983.33
OG,Aleksib,Aleksi Virolainen,141483.33
OG,ISSAA,Issa Murad,105483.33
OG,NBK,Nathan Schmitt,105483.33
OG,flameZ,Shahar Shushan,96405.09
OG,MidOne,"Zheng, Yeik Nai",67556.4
OG,nexa,Nemanja Isaković,60405.09
Evil Geniuses,SumaiL,Sumail Hassan,3570225.34
Evil Geniuses,UNiVeRsE,Saahil Arora,2919431.58
Evil Geniuses,ppd,Peter Dager,2600146.56
Evil Geniuses,Fear,Clinton Loomis,2491944.26
Evil Geniuses,Arteezy,Artour Babaev,2203600.63
Evil Geniuses,Cr1t,Andreas Nielsen,1695474.8
Evil Geniuses,Aui_2000,Kurtis Ling,1656341.14
Evil Geniuses,Fly,Tal Aizik,1266888.6
Evil Geniuses,Zai,Ludwig Wåhlberg,1045259.43
Evil Geniuses,s4,Gustav Magnusson,887386.2
Evil Geniuses,Abed,Abed Yusop,382202.4
Evil Geniuses,mason,Mason Venne,231961.93
