rank,country,prize,players,top_game,prize_top_game,pct_total_prize
1,China,235810008.59,6685,Dota 2,80548731.87,34.16
2,United States,222767893.75,23498,Fortnite,43384757.05,19.48
3,Korea,125464302.54,4979,League of Legends,32936175.64,26.25
4,Russian Federation,62837751.07,4623,Dota 2,26919619.3,42.84
5,Denmark,50260101.71,1873,Counter-Strike: Global Offensive,20497402.58,40.78
6,Sweden,47138841.73,2948,Dota 2,14195617.82,30.11
7,Brazil,45028272.83,4276,Counter-Strike: Global Offensive,11057444.45,24.56
8,France,43902465.61,5163,Counter-Strike: Global Offensive,9120756.53,20.78
9,Germany,40139669.28,5536,Dota 2,10032712.27,24.99
10,Canada,39369264.38,3604,Dota 2,7641849.52,19.41
11,United Kingdom,35708749.66,4423,Fortnite,6890858.46,19.3
12,Finland,30548493.42,1953,Dota 2,17256051.21,56.49
13,Ukraine,29541886.89,1291,Dota 2,18497292.63,62.61
14,Japan,27412645.42,2604,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,4560774.83,16.64
15,Australia,24705335.72,3026,Dota 2,8023092.41,32.48
16,Thailand,21851645.34,1862,Arena of Valor,5317787.42,24.34
17,Poland,21311205.61,2396,Counter-Strike: Global Offensive,7381420.06,34.64
18,"Taiwan, Republic of China",18223161.98,1421,League of Legends,5270275.84,28.92
19,Malaysia,17288047.71,1377,Dota 2,12767771.39,73.85
20,Philippines,16931997.85,1324,Dota 2,10343528.17,61.09
21,Indonesia,13740620.66,2161,Free Fire,3480440.65,25.33
22,Netherlands,13393571.08,1807,Fortnite,3112046.21,23.24
23,Viet Nam,12960416.34,2097,Arena of Valor,3755632.81,28.98
24,Norway,11105246.89,1142,Fortnite,2956192.54,26.62
25,Spain,10564218.28,2160,Counter-Strike: Global Offensive,1174270.73,11.12
26,Bulgaria,9383774.17,380,Dota 2,5503737.3,58.65
27,Turkey,9014067.9,1270,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2853431.0,31.66
28,Jordan,8253638.3,107,Dota 2,7561018.26,91.61
29,Saudi Arabia,7950253.81,507,Rainbow Six Siege,1380469.43,17.36
30,Argentina,7116605.27,1045,Fortnite,2071577.03,29.11
31,Singapore,6260691.06,1008,Dota 2,2618176.88,41.82
32,Mexico,6252645.37,928,Fortnite,687045.25,10.99
33,Estonia,6196395.09,295,Dota 2,4214551.09,68.02
34,Israel,5965545.9,245,Dota 2,5064095.59,84.89
35,Peru,5895958.76,490,Dota 2,5155604.24,87.44
36,Italy,5472628.06,1281,StarCraft II,581332.76,10.62
37,Pakistan,5390520.58,357,Dota 2,4524548.59,83.94
38,Lebanon,4950162.94,91,Dota 2,4373927.39,88.36
39,Austria,4848473.4,648,Fortnite,3178614.34,65.56
40,Romania,4559509.78,533,Dota 2,2745935.83,60.22
41,Czech Republic,4500946.88,934,Counter-Strike: Global Offensive,1085045.36,24.11
42,Slovakia,4351476.69,318,Dota 2,1916832.54,44.05
43,Belgium,4329352.43,768,Counter-Strike: Global Offensive,890522.28,20.57
44,Kazakhstan,4302778.92,629,Counter-Strike: Global Offensive,2953303.06,68.64
45,India,4178803.26,1045,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2175802.74,52.07
46,North Macedonia,3381015.28,72,Dota 2,3042176.6,89.98
47,Belarus,3250676.43,331,Dota 2,1448842.06,44.57
48,Portugal,3065827.33,955,Counter-Strike: Global Offensive,782810.39,25.53
49,Hong Kong,2812732.77,574,League of Legends,1038515.88,36.92
50,Switzerland,2595917.93,595,Fortnite,1568450.37,60.42
51,Serbia,2562617.03,337,Fortnite,955920.0,37.3
52,Chile,2349723.73,638,VALORANT,460262.77,19.59
53,Greece,2238174.17,495,Dota 2,1106389.51,49.43
54,Mongolia,2172685.09,202,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,1348566.23,62.07
55,Slovenia,2123388.35,123,Fortnite,1330144.53,62.64
56,New Zealand,2099204.67,335,Fortnite,661074.8,31.49
57,Bosnia and Herzegovina,1930194.89,73,Counter-Strike: Global Offensive,1650456.06,85.51
58,Latvia,1890771.46,300,Counter-Strike: Global Offensive,1072210.81,56.71
59,Macao,1705692.94,35,Dota 2,1337308.37,78.4
60,Croatia,1633448.66,246,League of Legends,617726.55,37.82
61,Hungary,1574670.22,598,Counter-Strike: Global Offensive,397648.05,25.25
62,South Africa,1476942.61,671,Counter-Strike: Global Offensive,879120.25,59.52
63,Lithuania,1414105.16,349,Counter-Strike: Global Offensive,599550.74,42.4
64,Nepal,1294703.49,120,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,1273169.14,98.34
65,Iraq,1224226.47,105,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,995662.33,81.33
66,Kyrgyzstan,1214926.11,60,Dota 2,1132617.71,93.23
67,Ireland,1064674.53,260,Fortnite,190077.48,17.85
68,Egypt,960573.77,152,Clash Royale,350000.0,36.44
69,Colombia,825185.12,264,Free Fire,125035.98,15.15
70,Morocco,747884.41,128,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,252976.2,33.83
71,Moldova,697890.82,48,Dota 2,410117.21,58.77
72,Myanmar,687045.95,224,Mobile Legends: Bang Bang,372517.93,54.22
73,Bolivia,684978.83,28,Dota 2,628162.59,91.71
74,Uruguay,623598.84,88,PLAYERUNKNOWN’S BATTLEGROUNDS,139649.65,22.39
75,Dominican Republic,609270.41,94,Street Fighter V,268835.2,44.12
76,Armenia,576922.09,33,chess24,229339.3,39.75
77,Puerto Rico,542431.58,109,Gears of War 4,104860.0,19.33
78,Azerbaijan,513009.51,100,chess24,285631.5,55.68
79,Algeria,504970.52,90,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,214132.01,42.4
80,United Arab Emirates,496373.01,175,Fortnite,161322.42,32.5
81,"Iran, Islamic Republic of",472592.61,141,chess24,114521.3,24.23
82,Georgia,461572.72,89,PLAYERUNKNOWN’S BATTLEGROUNDS,325646.6,70.55
83,Uzbekistan,419323.05,52,Counter-Strike: Global Offensive,329260.34,78.52
84,Syrian Arab Republic,413338.49,50,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,227186.47,54.96
85,Kuwait,370629.39,103,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,105704.52,28.52
86,Venezuela,346045.84,160,League of Legends,59299.45,17.14
87,Tunisia,336185.14,73,League of Legends,157703.06,46.91
88,Cambodia,319973.84,190,Mobile Legends: Bang Bang,234444.01,73.27
89,Cuba,281121.28,22,PLAYERUNKNOWN’S BATTLEGROUNDS,133179.24,47.37
90,Afghanistan,275737.9,7,Call of Duty: Black Ops 4,73870.6,26.79
91,Kosovo,271514.95,37,Counter-Strike: Global Offensive,229056.17,84.36
92,Bahrain,263386.66,20,Fortnite,119475.0,45.36
93,Laos,257303.67,85,Dota 2,235129.55,91.38
94,Montenegro,237953.43,14,Counter-Strike: Global Offensive,237178.84,99.67
95,Ecuador,234734.64,54,Free Fire,119750.0,51.02
96,Iceland,217354.55,129,Overwatch,101594.86,46.74
97,Bangladesh,203383.3,73,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,108608.36,53.4
98,Malta,158733.1,291,FIFA 18,38778.7,24.43
99,Albania,137878.73,54,PLAYERUNKNOWN’S BATTLEGROUNDS,44105.94,31.99
100,Gibraltar,127329.51,1,PLAYERUNKNOWN’S BATTLEGROUNDS,126204.51,99.12
101,Brunei Darussalam,117260.27,213,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,58295.62,49.71
102,Costa Rica,108357.18,59,League of Legends,29136.58,26.89
103,Nicaragua,92138.45,10,Super Smash Bros. Melee,34814.99,37.79
104,Luxembourg,84467.66,34,Fortnite,34458.2,40.79
105,Guatemala,80723.55,31,Counter-Strike: Global Offensive,38464.29,47.65
106,"Palestine, State of",79223.85,20,Fortnite,27160.0,34.28
107,Honduras,73681.07,15,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,63047.87,85.57
108,Panama,62851.21,50,Fortnite,35000.0,55.69
109,Oman,62204.65,7,Fortnite,50175.0,80.66
110,Paraguay,51440.58,37,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,16178.33,31.45
111,Senegal,51250.91,9,FIFA 21,40000.0,78.05
112,Libyan Arab Jamahiriya,48916.71,6,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,48916.71,100.0
113,Qatar,46306.61,35,Rocket League,13025.69,28.13
114,Sri Lanka,30014.29,28,Vainglory,11010.97,36.69
115,Yemen,29068.34,8,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,9275.0,31.91
116,Ethiopia,23669.95,1,Overwatch,23669.95,100.0
