rank,country,prize,players,month,year
1,China,3648074.42,394,1,2022
2,United States,1116853.01,605,1,2022
3,Russian Federation,1034342.78,175,1,2022
4,"Taiwan, Republic of China",666756.51,35,1,2022
5,"Korea, Republic of",486804.15,147,1,2022
6,Iraq,297333.33,5,1,2022
7,Turkey,287867.31,26,1,2022
8,India,274224.35,90,1,2022
9,Brazil,273803.76,193,1,2022
10,Japan,239262.59,91,1,2022
11,Peru,223892.85,61,1,2022
12,Malaysia,221003.86,55,1,2022
13,Thailand,219055.58,84,1,2022
14,United Kingdom,200902.9,134,1,2022
15,Canada,179832.82,92,1,2022
16,Philippines,156323.02,68,1,2022
17,Viet Nam,150092.89,37,1,2022
18,France,144874.49,161,1,2022
19,Ukraine,140098.59,83,1,2022
20,Australia,138954.96,90,1,2022
21,Mongolia,117799.1,30,1,2022
22,Germany,107892.4,121,1,2022
23,Denmark,104706.09,59,1,2022
24,Sweden,104473.26,57,1,2022
25,Netherlands,88078.33,50,1,2022
26,Portugal,83974.4,31,1,2022
27,Chile,75202.49,19,1,2022
28,Kazakhstan,70568.32,19,1,2022
29,Algeria,66000.0,1,1,2022
30,Indonesia,62508.2,45,1,2022
31,Saudi Arabia,60475.7,31,1,2022
32,Belarus,48737.85,18,1,2022
33,Poland,44767.61,108,1,2022
34,Argentina,39476.49,33,1,2022
35,Finland,38187.22,39,1,2022
36,Czech Republic,37700.72,37,1,2022
37,Pakistan,37499.32,18,1,2022
38,Azerbaijan,36700.0,3,1,2022
39,Mexico,33808.8,24,1,2022
40,Singapore,33064.86,35,1,2022
41,Italy,32796.49,36,1,2022
42,Spain,28507.48,42,1,2022
43,Bolivia,26999.99,6,1,2022
44,Belgium,26521.68,16,1,2022
45,Greece,21861.94,16,1,2022
46,Bulgaria,21224.86,12,1,2022
47,Slovenia,19374.99,7,1,2022
48,Kyrgyzstan,17900.0,8,1,2022
49,South Africa,17775.0,24,1,2022
50,Norway,17707.22,17,1,2022
51,Serbia,16799.97,15,1,2022
52,Lebanon,16171.42,5,1,2022
53,New Zealand,15800.0,6,1,2022
54,Jordan,15366.67,4,1,2022
55,Nepal,14981.31,5,1,2022
56,Israel,13479.04,6,1,2022
57,Switzerland,10819.07,15,1,2022
58,Croatia,8543.87,7,1,2022
59,Lao People's Democratic Republic,7400.0,13,1,2022
60,Estonia,7335.2,9,1,2022
61,Slovakia,7154.39,15,1,2022
62,Bosnia and Herzegovina,6800.0,3,1,2022
63,Austria,6501.61,7,1,2022
64,Georgia,6375.23,12,1,2022
65,North Macedonia,6248.14,3,1,2022
66,Hungary,6153.25,12,1,2022
67,Romania,6086.9,29,1,2022
