rank,game,prize,players,tournaments,month,year
1,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,3744408.0,226,4,1,2022
2,Dota 2,2005000.0,483,17,1,2022
3,Naraka: Bladepoint,1350700.0,38,2,1,2022
4,Apex Legends,1070525.13,351,11,1,2022
5,Arena of Valor,579526.4,56,2,1,2022
6,Counter-Strike: Global Offensive,533176.82,647,37,1,2022
7,Rocket League,530423.58,415,34,1,2022
8,League of Legends: Wild Rift,355495.0,60,2,1,2022
9,rFactor 2,266666.0,162,5,1,2022
10,StarCraft II,200129.93,102,27,1,2022
11,Fortnite,180000.0,20,2,1,2022
12,Call of Duty: Warzone,177706.0,81,16,1,2022
13,League of Legends,154497.0,18,3,1,2022
14,Free Fire,101224.94,28,1,1,2022
15,FIFA Online 4,100000.0,39,1,1,2022
16,PLAYERUNKNOWN’S BATTLEGROUNDS,98710.37,71,3,1,2022
17,Street Fighter V: Champion Edition,69442.56,12,1,1,2022
18,Age of Empires IV,67872.5,105,21,1,2022
19,VALORANT,56379.11,105,7,1,2022
20,Lichess,53615.85,14,4,1,2022
21,Minecraft,53000.0,84,3,1,2022
22,Brawlhalla,50000.0,95,5,1,2022
23,StarCraft: Remastered,46689.3,37,4,1,2022
24,Call of Duty: Vanguard,46000.0,56,9,1,2022
25,Heroes of the Storm,45641.0,48,1,1,2022
26,Crab Game,45200.0,18,2,1,2022
27,Chess.com,31000.0,28,5,1,2022
28,Super Smash Bros. Melee,30001.0,16,1,1,2022
29,WarCraft III: Reforged,21035.0,19,4,1,2022
30,iRacing.com,20866.0,70,2,1,2022
31,Super Smash Bros. Ultimate,20675.94,64,11,1,2022
32,Assetto Corsa Competizione,17006.0,86,1,1,2022
33,Tekken 7,16200.0,16,3,1,2022
34,Age of Empires II,13910.9,72,25,1,2022
35,Guilty Gear -STRIVE-,7340.27,8,1,1,2022
36,Trackmania (2020),7065.02,51,10,1,2022
37,Teamfight Tactics,6687.64,32,1,1,2022
38,Diabotical,5083.08,38,17,1,2022
39,Rainbow Six Siege,5000.0,17,1,1,2022
40,Age of Empires,2211.0,1,1,1,2022
41,Clash of Clans,1500.0,22,2,1,2022
42,Gears 5,1500.0,12,3,1,2022
43,Quake Champions,631.91,6,1,1,2022
44,Assetto Corsa,510.0,17,1,1,2022
45,TrackMania Nations Forever,453.01,3,1,1,2022
46,Auto Chess,400.0,2,4,1,2022
47,Age of Empires Online,373.0,7,2,1,2022
