year,prize_year,tournaments,prize_pct_total,profile_link
2022,1778265.6,8,78.68,/players/3254-sneyking-jing-jun-wu
2021,68520.0,8,3.03,/players/3254-sneyking-jing-jun-wu
2020,24473.0,13,1.08,/players/3254-sneyking-jing-jun-wu
2019,164120.4,10,7.26,/players/3254-sneyking-jing-jun-wu
2018,202589.37,9,8.96,/players/3254-sneyking-jing-jun-wu
2017,9200.0,7,0.41,/players/3254-sneyking-jing-jun-wu
2016,1300.0,4,0.06,/players/3254-sneyking-jing-jun-wu
2014,3189.42,8,0.14,/players/3254-sneyking-jing-jun-wu
2013,4885.23,11,0.22,/players/3254-sneyking-jing-jun-wu
2012,2700.0,4,0.12,/players/3254-sneyking-jing-jun-wu
2011,1000.0,1,0.04,/players/3254-sneyking-jing-jun-wu
2022,1778265.6,8,93.14,/players/24761-skiter-oliver-lepko
2021,69620.0,8,3.65,/players/24761-skiter-oliver-lepko
2020,26600.0,14,1.39,/players/24761-skiter-oliver-lepko
2019,18440.0,6,0.97,/players/24761-skiter-oliver-lepko
2018,8881.15,10,0.47,/players/24761-skiter-oliver-lepko
2017,7011.74,10,0.37,/players/24761-skiter-oliver-lepko
2016,200.0,2,0.01,/players/24761-skiter-oliver-lepko
2015,188.09,3,0.01,/players/24761-skiter-oliver-lepko
2022,1778265.6,8,94.14,/players/39770-nine-leon-kirilin
2021,69620.0,8,3.69,/players/39770-nine-leon-kirilin
2020,3250.0,3,0.17,/players/39770-nine-leon-kirilin
2019,23460.0,8,1.24,/players/39770-nine-leon-kirilin
2018,8481.15,9,0.45,/players/39770-nine-leon-kirilin
2017,5793.89,7,0.31,/players/39770-nine-leon-kirilin
2022,1770865.6,6,58.31,/players/19074-saksa-martin-sazdov
2021,214100.0,4,7.05,/players/19074-saksa-martin-sazdov
2020,75571.4,12,2.49,/players/19074-saksa-martin-sazdov
2019,105065.0,12,3.46,/players/19074-saksa-martin-sazdov
2018,24400.0,5,0.8,/players/19074-saksa-martin-sazdov
2017,69260.0,9,2.28,/players/19074-saksa-martin-sazdov
2016,758973.4,10,24.99,/players/19074-saksa-martin-sazdov
2015,18834.95,5,0.62,/players/19074-saksa-martin-sazdov
2022,1748265.6,7,76.35,/players/15708-33-neta-shapira
2021,69620.0,8,3.04,/players/15708-33-neta-shapira
2020,50300.0,9,2.2,/players/15708-33-neta-shapira
2019,150065.0,16,6.55,/players/15708-33-neta-shapira
2018,237759.8,13,10.38,/players/15708-33-neta-shapira
2017,20056.0,8,0.88,/players/15708-33-neta-shapira
2016,13232.76,7,0.58,/players/15708-33-neta-shapira
2015,567.04,3,0.02,/players/15708-33-neta-shapira
2022,1214200.0,18,79.6,/players/83369-anas-el-abd
2021,228500.0,7,14.98,/players/83369-anas-el-abd
2020,58250.0,15,3.82,/players/83369-anas-el-abd
2019,24350.0,11,1.6,/players/83369-anas-el-abd
2022,757777.03,5,47.02,/players/70610-huahai-luo-siyuan
2021,318333.86,3,19.75,/players/70610-huahai-luo-siyuan
2020,59640.98,3,3.7,/players/70610-huahai-luo-siyuan
2019,475717.32,3,29.52,/players/70610-huahai-luo-siyuan
2022,757777.03,5,60.83,/players/89896-yz-liu-tianhao
2021,205200.09,4,16.47,/players/89896-yz-liu-tianhao
2020,268218.4,4,21.53,/players/89896-yz-liu-tianhao
2019,6341.08,1,0.51,/players/89896-yz-liu-tianhao
2018,8121.68,1,0.65,/players/89896-yz-liu-tianhao
2022,757777.03,5,62.81,/players/90008-qingrong-huang-yaoqin
2021,431844.1,4,35.8,/players/90008-qingrong-huang-yaoqin
2020,16798.1,1,1.39,/players/90008-qingrong-huang-yaoqin
2022,757777.03,5,66.52,/players/95063-ziyang-xiang-yang
2021,381456.1,3,33.48,/players/95063-ziyang-xiang-yang
2022,757777.03,5,83.13,/players/102465-tanran-sun-linwei
2021,153749.51,1,16.87,/players/102465-tanran-sun-linwei
2022,733682.74,4,48.74,/players/60485-alan-wang-tianlong
2021,154942.91,2,10.29,/players/60485-alan-wang-tianlong
2020,59640.98,3,3.96,/players/60485-alan-wang-tianlong
2019,475717.32,3,31.6,/players/60485-alan-wang-tianlong
2018,10448.55,3,0.69,/players/60485-alan-wang-tianlong
2017,70785.65,3,4.7,/players/60485-alan-wang-tianlong
2022,605973.27,9,97.07,/players/71503-crystallis-remco-arets
2021,14750.0,8,2.36,/players/71503-crystallis-remco-arets
2020,2162.55,5,0.35,/players/71503-crystallis-remco-arets
2019,1362.77,5,0.22,/players/71503-crystallis-remco-arets
2022,603098.57,7,14.31,/players/2578-puppey-clement-ivanov
2021,746600.0,6,17.71,/players/2578-puppey-clement-ivanov
2020,203588.0,12,4.83,/players/2578-puppey-clement-ivanov
2019,626760.8,9,14.87,/players/2578-puppey-clement-ivanov
2018,423352.27,16,10.04,/players/2578-puppey-clement-ivanov
2017,262463.8,13,6.23,/players/2578-puppey-clement-ivanov
2016,289679.0,11,6.87,/players/2578-puppey-clement-ivanov
2015,445455.22,14,10.57,/players/2578-puppey-clement-ivanov
2014,189893.7,15,4.51,/players/2578-puppey-clement-ivanov
2013,155459.18,20,3.69,/players/2578-puppey-clement-ivanov
2012,63952.2,15,1.52,/players/2578-puppey-clement-ivanov
2011,203870.06,5,4.84,/players/2578-puppey-clement-ivanov
2010,600.0,1,0.01,/players/2578-puppey-clement-ivanov
2022,603098.57,7,26.41,/players/17765-nisha-michal-jankowski
2021,746600.0,6,32.69,/players/17765-nisha-michal-jankowski
2020,203588.0,12,8.92,/players/17765-nisha-michal-jankowski
2019,624960.8,8,27.37,/players/17765-nisha-michal-jankowski
2018,86006.0,9,3.77,/players/17765-nisha-michal-jankowski
2017,13903.0,10,0.61,/players/17765-nisha-michal-jankowski
2016,3472.71,9,0.15,/players/17765-nisha-michal-jankowski
2015,1923.2,5,0.08,/players/17765-nisha-michal-jankowski
2022,598408.6,11,15.55,/players/26513-faith-bian-zhang-ruida
2021,1158680.0,8,30.12,/players/26513-faith-bian-zhang-ruida
2020,59643.27,14,1.55,/players/26513-faith-bian-zhang-ruida
2019,54175.76,7,1.41,/players/26513-faith-bian-zhang-ruida
2018,11822.92,7,0.31,/players/26513-faith-bian-zhang-ruida
2017,29565.42,7,0.77,/players/26513-faith-bian-zhang-ruida
2016,1923676.32,14,50.0,/players/26513-faith-bian-zhang-ruida
2015,10321.28,3,0.27,/players/26513-faith-bian-zhang-ruida
2014,1133.29,2,0.03,/players/26513-faith-bian-zhang-ruida
2022,594223.27,10,74.08,/players/23173-zayac-bakyt-emilzhanov
2021,12050.0,6,1.5,/players/23173-zayac-bakyt-emilzhanov
2020,58500.0,12,7.29,/players/23173-zayac-bakyt-emilzhanov
2019,116690.2,7,14.55,/players/23173-zayac-bakyt-emilzhanov
2018,12330.0,6,1.54,/players/23173-zayac-bakyt-emilzhanov
2017,2750.0,4,0.34,/players/23173-zayac-bakyt-emilzhanov
2016,5118.66,8,0.64,/players/23173-zayac-bakyt-emilzhanov
2015,422.39,2,0.05,/players/23173-zayac-bakyt-emilzhanov
2022,586206.6,3,28.49,/players/3946-resolut1on-roman-fominok
2021,10750.0,6,0.52,/players/3946-resolut1on-roman-fominok
2020,54000.0,11,2.62,/players/3946-resolut1on-roman-fominok
2019,26720.0,11,1.3,/players/3946-resolut1on-roman-fominok
2018,226812.8,12,11.02,/players/3946-resolut1on-roman-fominok
2017,218239.6,13,10.61,/players/3946-resolut1on-roman-fominok
2016,759557.82,12,36.91,/players/3946-resolut1on-roman-fominok
2015,122818.1,17,5.97,/players/3946-resolut1on-roman-fominok
2014,47472.24,18,2.31,/players/3946-resolut1on-roman-fominok
2013,5306.29,8,0.26,/players/3946-resolut1on-roman-fominok
2022,557773.77,7,43.5,/players/77958-order-zeng-zehai
2021,456454.72,9,35.6,/players/77958-order-zeng-zehai
2020,214013.41,6,16.69,/players/77958-order-zeng-zehai
2019,54018.96,3,4.21,/players/77958-order-zeng-zehai
2022,557549.29,4,97.8,/players/102883-fengjie-jiang-longhui
